date,Afghanistan,Albania,Algeria,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Chile,China,Colombia,Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Finland,France,Gabon,Germany,Ghana,Greece,Guatemala,Guinea,Honduras,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Lebanon,Libya,Madagascar,Malaysia,Maldives,Mexico,Moldova,Morocco,Namibia,Nepal,Netherlands,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Senegal,Serbia,Singapore,South Africa,Spain,Sudan,Sweden,Switzerland,Tajikistan,Turkey,US,Ukraine,United Arab Emirates,United Kingdom,Uzbekistan,Venezuela,West Bank and Gaza,Zambia
2020-07-13,34455,3571,19689,103265,32151,10251,18948,24570,33476,186894,65114,62707,49250,6981,1884967,7411,15173,109984,317657,85117,154277,8075,8036,12872,3775,13238,13238,45506,68459,83001,9978,7766,7295,209640,6026,200180,24988,3826,29742,6141,28579,4247,906752,76981,259652,79735,25638,40632,243230,22125,61755,10294,13512,4931,55508,11444,2419,1512,5080,8725,2762,304435,19439,15936,861,16945,51308,33153,8197,8984,58179,253604,47173,2980,330123,57006,38190,46818,104016,32948,732547,235111,8198,18639,46283,287796,255953,10316,73049,32946,6596,214001,3364157,55285,55198,291691,13591,9707,6566,1895
2020-07-14,34740,3667,20216,106910,32490,10487,19021,25113,34078,190057,65269,62781,50867,6981,1926824,7645,15173,110350,319493,85226,159898,8135,8482,13037,3827,13341,13262,46305,69570,83930,10303,7969,7301,209640,6026,200456,24988,3883,30872,6200,29106,4258,936181,78572,262173,81757,25670,42360,243344,22437,63514,10791,13551,5118,56174,11444,2451,1563,5343,8729,2801,311486,19708,16097,864,17061,51362,33616,8332,9001,59568,255769,48096,3074,333867,57545,38457,47051,104533,33585,738787,237803,8243,18983,46630,298292,256619,10417,73364,33016,6643,214993,3431574,55931,55573,292931,14085,10010,6764,1895
2020-07-15,34994,3752,20770,111146,33005,10810,19154,25672,34560,193590,65443,62872,52218,7411,1966748,7877,15173,110693,321205,85246,165169,8163,8986,13403,3953,13475,13293,47671,70329,84843,10645,8181,7296,210568,6121,200890,25430,3910,32074,6276,30036,4263,968857,80094,264561,83867,25683,44188,243506,23172,65188,11252,13612,5237,56877,12282,2542,1589,5605,8734,2831,317635,20040,16262,960,17177,51471,34259,8530,9011,61247,257914,49243,3198,337751,58850,38721,47426,104983,34226,745197,240474,8369,19334,46878,311049,257494,10527,73663,33148,6695,215940,3498902,56779,55848,293469,14581,10428,7064,1895
2020-07-16,35070,3851,21355,114783,33559,11233,19270,26165,35084,196323,65623,63238,54156,7681,2012151,8144,16157,111144,323698,85327,173206,8199,9546,13554,4039,13612,13325,48743,71365,85771,10957,8475,7293,211102,6121,201450,26125,3939,32939,6359,30867,4279,1003832,81668,267061,86148,25698,46059,243736,23510,66895,11673,13672,5369,57668,12498,2599,1652,6089,8737,2899,324041,20264,16545,1032,17344,51572,34854,8623,9015,62574,257914,50373,3342,341586,61266,39054,47765,105477,35003,751612,243238,8481,19717,47126,324221,258855,10527,73936,33290,6741,216873,3576157,57640,56129,294116,15066,10854,7412,1895
2020-07-17,35229,3906,21948,119301,34001,11441,19439,26636,35473,199357,65782,63499,56102,7908,2046328,8442,16157,111559,326439,85402,182140,8249,9969,13696,4137,13742,13374,50113,72444,86474,11207,8803,7301,211943,6315,202045,26572,3964,33809,6430,31745,4293,1039084,83130,269440,88171,25730,47459,243967,24104,68703,12062,13711,5472,58221,13101,2700,1704,6467,8755,2913,331298,20494,16726,1078,17445,51682,35454,8786,9025,64193,261917,51408,3457,345537,63001,39407,48077,105898,35802,758001,245851,8544,20109,47453,337594,260255,10527,74235,33382,6786,217799,3647715,58466,56422,294803,15607,11191,7764,2810
2020-07-18,35301,4008,22549,122524,34462,11802,19573,27133,36004,202066,65953,63706,58138,8161,2074860,8638,16157,111875,328846,85418,190700,8324,10551,13912,4253,13855,13374,51519,73382,87172,11508,9147,7318,211943,6315,202426,27060,3983,38042,6491,32793,4315,1077781,84882,271606,90220,25750,49365,244216,24946,68703,12750,13745,5617,58904,24606,2775,1791,6849,8764,2930,338913,20794,17015,1203,17502,51809,36107,9026,9028,65504,263496,52261,3629,349500,65304,39746,48390,106308,36691,764215,248416,8669,20498,47655,350879,260255,10682,74435,33492,6834,218717,3711413,59333,56711,295632,16186,11483,8204,2980
2020-07-19,35475,4090,23084,126755,34877,12069,19655,27521,36422,204525,66095,63706,59582,8340,2098389,8733,16157,112168,330930,85503,197278,8403,11114,14119,4345,13945,13377,52855,74013,87775,11846,9503,7335,211943,6315,202735,27667,4007,38677,6544,33835,4333,1118206,86521,273788,92530,25760,50289,244434,25446,71838,13353,13771,5735,59204,27143,2859,1866,7049,8779,2966,344224,20980,17236,1247,17658,51955,36663,9153,9028,66661,265083,53468,3721,353590,67456,40104,48636,106648,37458,770311,250920,8810,20894,47912,364328,260255,10992,74545,33591,6878,219641,3773260,60077,56922,296358,16752,11891,8549,2980
2020-07-20,35526,4171,23691,130774,34981,12428,19743,27890,36936,207453,66213,64094,60991,8479,2118646,8929,16157,112938,333029,85622,204005,8443,11534,14312,4370,14098,13466,53956,74620,88402,12207,10207,7340,214023,6433,203325,28430,4012,39039,6590,34611,4339,1155338,88214,276202,94693,25766,52003,244624,25706,73468,13771,13816,5877,59763,27143,2905,1980,7153,8800,2999,349396,21115,17562,1344,17844,52142,37225,9249,9034,68400,266096,54426,3748,357681,68898,40383,48771,107037,38139,776212,253349,8948,21253,48035,373628,264836,10992,74676,33634,6921,220572,3834677,60767,57193,296944,17149,12334,8916,3326
2020-07-21,35615,4290,24278,136118,35254,12894,19827,28242,37316,210510,66348,64258,62357,8787,2159654,9254,16522,113473,334683,85708,211038,8534,11811,14531,4422,14324,13506,54797,76217,89078,12582,11072,7351,214607,6433,203717,28989,4048,40229,6652,35345,4347,1193078,89869,278827,97159,25802,54042,244752,26463,75153,14168,13879,6045,60434,28251,2980,2088,7548,8815,3044,356255,21442,17742,1366,17994,52307,37801,9412,9053,69887,267428,55153,3817,362087,70764,40782,48898,107430,39133,782040,255825,8985,21605,48434,381798,266194,10992,74902,33742,6967,221500,3899211,61454,57498,297389,17881,12774,9228,3386
2020-07-22,35727,4358,24872,141900,35693,13302,19929,28633,37637,213254,66521,64627,64135,9115,2227514,9584,16522,113790,336402,85906,218428,8626,12361,14733,4530,14570,13554,56043,77257,89745,12975,11524,7362,215605,6588,204276,29672,4077,41135,6747,36102,4366,1238798,91751,281413,99865,25819,56085,245032,27136,75153,14805,13938,6286,61185,28980,3104,2176,8162,8831,3103,362274,21798,17962,1402,18094,52475,38344,9547,9059,71547,269191,55906,4000,366550,72269,41162,49150,107871,40163,787890,258156,9121,22031,48744,394948,267551,11237,75199,33883,7015,222402,3970121,62295,57734,297952,18379,13164,9398,3583
