date,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Diamond Princess,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia
2020-08-15,1370,225,1360,53,86,3,5637,817,396,728,506,17,170,3625,7,603,9935,3,39,0,4003,471,3,107232,3,495,54,6,1,34,0,401,9072,61,76,10395,4703,14810,7,60,239,291,108,165,88,20,395,621,13,59,0,1438,6065,5141,603,83,0,63,69,509,1,333,30410,51,54,17,9235,231,226,0,2355,50,33,22,196,0,1567,607,10,49980,6071,19492,5785,1774,674,35392,14,1093,11,1269,472,305,390,498,1493,0,32,97,25,82
2020-08-16,1375,228,1370,53,88,3,5703,818,421,728,506,18,170,3657,7,610,9939,3,39,0,4058,471,3,107852,3,498,55,6,1,35,0,401,9074,61,76,10452,4703,15097,7,76,240,294,110,166,88,20,397,621,13,59,0,1453,6070,5160,612,83,0,63,70,528,1,333,30410,51,63,17,9235,231,228,0,2379,51,33,23,196,0,1575,608,10,50921,6150,19639,5860,1774,685,35396,14,1103,11,1269,474,305,390,501,1495,0,32,103,25,82
2020-08-17,1375,230,1379,53,88,3,5814,824,438,729,508,19,173,3694,7,613,9944,4,39,0,4123,486,3,108536,3,512,55,6,1,36,0,403,9075,61,76,10513,4703,15372,7,76,243,304,110,166,88,20,399,621,13,59,0,1481,6083,5173,618,83,0,63,73,544,1,334,30434,53,63,17,9236,239,230,0,2389,51,33,23,196,0,1583,608,10,51797,6207,19804,5954,1774,692,35400,14,1112,11,1269,482,306,390,502,1496,0,32,105,30,82
2020-08-18,1375,232,1391,53,90,3,6048,832,450,729,509,20,175,3740,7,617,9959,4,39,0,4172,495,3,109888,3,519,55,6,1,36,0,406,9090,61,76,10546,4705,15619,7,76,243,314,110,166,88,20,401,621,13,59,0,1489,6105,5184,625,83,0,63,76,572,1,334,30434,53,63,17,9241,248,232,0,2419,52,33,25,196,0,1593,609,10,52888,6277,19972,6036,1775,708,35405,14,1135,11,1415,487,306,390,505,1498,0,33,107,30,82
2020-08-19,1375,234,1402,53,92,3,6330,833,463,729,510,22,178,3781,7,622,9969,4,39,0,4233,507,3,111100,3,527,55,6,1,36,0,406,9095,61,76,10578,4706,15979,7,77,246,321,111,168,88,20,404,621,13,59,0,1501,6146,5197,633,83,0,63,79,600,1,334,30434,53,77,17,9249,256,235,0,2467,53,33,27,196,0,1608,609,10,53866,6346,20125,6121,1775,781,35412,14,1148,11,1415,506,307,390,507,1498,0,33,109,30,82
2020-08-20,1385,238,1411,53,93,3,6517,836,472,729,510,23,179,3822,7,627,9976,5,39,0,4305,515,3,112304,3,532,55,6,1,37,0,408,9097,61,76,10671,4709,16183,7,77,247,333,112,168,88,20,406,621,13,59,0,1505,6200,5212,640,83,0,63,81,620,1,334,30434,53,81,17,9263,261,235,0,2506,53,33,29,196,0,1619,609,10,54849,6418,20264,6208,1776,795,35418,15,1157,11,1415,516,309,390,509,1498,0,33,113,30,82
2020-08-21,1385,240,1418,53,94,3,6730,842,485,730,512,27,181,3861,7,632,9985,5,39,0,4366,526,3,113358,3,539,55,6,1,37,0,408,9110,61,76,10723,4709,16568,7,77,248,340,112,169,89,20,411,621,13,60,0,1533,6248,5231,646,83,0,63,81,637,1,334,30508,53,84,17,9266,261,238,0,2532,53,33,30,196,0,1632,611,10,55794,6500,20376,6283,1776,809,35427,16,1175,11,1415,532,309,448,511,1055,0,33,116,30,82
2020-08-22,1385,245,1424,53,94,3,6848,850,502,732,515,27,183,3907,7,637,9988,6,39,0,4442,532,3,114250,3,539,55,6,1,37,0,408,9117,61,76,10792,4711,16968,7,77,251,348,113,170,89,20,411,622,13,60,0,1554,6277,5243,654,83,0,63,83,662,1,334,30517,53,84,17,9272,261,240,0,2580,53,33,31,196,0,1643,611,10,56706,6594,20502,6353,1777,819,35430,16,1179,11,1415,542,309,448,513,1055,0,33,121,30,82
2020-08-23,1387,250,1435,53,96,3,6985,852,517,732,518,29,184,3941,7,642,9992,6,39,0,4509,532,3,114744,3,545,55,6,1,37,0,408,9119,61,76,10852,4711,17316,7,77,251,355,113,171,91,20,412,622,13,60,0,1567,6310,5262,661,83,0,63,85,678,1,334,30518,53,87,17,9275,261,242,0,2594,53,33,31,196,0,1654,613,10,57542,6680,20643,6428,1777,834,35437,16,1188,12,1415,548,309,467,515,1056,0,33,123,30,82
2020-08-24,1389,254,1446,53,100,3,7366,854,525,733,519,44,185,3983,7,646,9996,10,39,0,4578,547,3,115309,3,563,55,6,1,37,0,408,9129,61,76,10916,4711,17612,7,78,251,362,114,173,91,20,415,623,13,60,0,1573,6322,5280,669,83,0,64,85,692,1,335,30533,53,87,18,9276,263,242,0,2611,55,33,31,196,0,1683,613,10,58390,6759,20776,6519,1777,847,35441,16,1201,14,1415,554,310,467,518,1057,0,33,126,30,82
